,219
Status,Accepted
ACTIVITY,In Progress
Involved_ST_Function_Div,missing
Involved_Org_line_3,Org line V7n
Involved_ST,V37 2nd
SR_Latest_Impact,Medium
Product,PROD542
Country,nl
Owner_Country,Netherlands
time_from_start,246.343
time_from_previous_event(start),4.729
daytime,16770.277
weekday,Friday
# ACTIVITY=In Progress,6
# ACTIVITY=Awaiting Assignment,3
# ACTIVITY=Resolved,0
# ACTIVITY=Wait - User,1
# ACTIVITY=Wait - Implementation,0
# ACTIVITY=Assigned,0
# ACTIVITY=Wait,0
# ACTIVITY=Wait - Vendor,0
# ACTIVITY=Closed,0
# ACTIVITY=In Call,0
# ACTIVITY=Wait - Customer,0
