,6
SR_Number,1-731890914
Status,Accepted
ACTIVITY,In Progress
Involved_ST_Function_Div,D_1
Involved_Org_line_3,Org line A2
Involved_ST,G123 2nd
SR_Latest_Impact,Medium
Product,PROD821
Country,be
Owner_Country,INDIA
time_from_start,87.392
time_from_previous_event(start),3.338
daytime,43028.726
weekday,Friday
# ACTIVITY=In Progress,3
# ACTIVITY=Awaiting Assignment,3
# ACTIVITY=Resolved,0
# ACTIVITY=Assigned,0
# ACTIVITY=Closed,0
# ACTIVITY=Wait - User,0
# ACTIVITY=Wait - Implementation,0
# ACTIVITY=Wait,0
# ACTIVITY=Wait - Vendor,0
# ACTIVITY=In Call,0
# ACTIVITY=Wait - Customer,0
# ACTIVITY=Unmatched,0
# ACTIVITY=Cancelled,0
