,8
SR_Number,1-696981592
Status,Accepted
ACTIVITY,Assigned
Involved_ST_Function_Div,missing
Involved_Org_line_3,Org line V7
Involved_ST,V35 2nd
SR_Latest_Impact,Medium
Product,PROD542
Country,be
Owner_Country,Belgium
time_from_start,598.709
time_from_previous_event(start),86.984
daytime,39860.86
weekday,Friday
# ACTIVITY=In Progress,5
# ACTIVITY=Awaiting Assignment,1
# ACTIVITY=Resolved,0
# ACTIVITY=Assigned,2
# ACTIVITY=Closed,0
# ACTIVITY=Wait - User,0
# ACTIVITY=Wait - Implementation,0
# ACTIVITY=Wait,0
# ACTIVITY=Wait - Vendor,0
# ACTIVITY=In Call,0
# ACTIVITY=Wait - Customer,0
# ACTIVITY=Unmatched,0
# ACTIVITY=Cancelled,0
